,session_id,r2
0,2,-1.0436
1,3,0.1254
2,4,-0.8751
3,5,0.1737
4,6,-0.3262
5,7,-0.2027
6,8,-4.965
7,9,-0.0955
8,10,-0.6648
9,11,-0.2353
10,12,-0.8646
11,13,-5.7525
12,14,0.2925
13,15,0.404
14,16,0.749
15,17,-2.7952
16,18,0.4906
17,19,-12.5932
18,20,-0.4541
19,21,-0.1688
20,22,0.3841
21,23,-0.3366
22,24,-0.7942
23,25,-5.4263
24,26,0.5983
25,27,0.0349
26,28,-1.3125
27,29,-1.9578
28,30,-0.22
29,31,-1.4859
30,32,0.1458
31,33,0.1568
32,34,-0.9936
33,35,-0.0781
34,36,0.6454
35,37,-0.2511
36,38,0.745
37,39,-2.026
38,40,-0.1523
39,41,0.3561
40,42,-3.1566
41,43,0.3349
42,44,-0.8554
43,45,-0.2987
44,46,0.7006
45,47,-0.0082
46,48,-0.0676
47,49,0.5504
48,50,0.5318
49,51,-3.9906
50,52,-2.0869
51,53,-0.2201
52,54,0.2963
53,55,0.0547
54,56,-2.0787
55,57,-0.622
56,58,0.8307
57,59,0.4224
58,60,0.3922
59,61,-0.2794
60,62,0.5004
61,63,0.2499
62,64,-0.7537
63,65,-0.1082
64,66,-0.0424
65,67,-0.0399
66,68,0.589
67,69,-0.8796
68,70,-0.1773
69,71,0.5074
70,72,-1.2426
71,73,0.2685
72,74,0.9844
73,75,0.5651
74,76,-3.7277
75,77,-0.5042
76,78,-0.0623
77,79,-0.7759
78,80,0.3059
79,81,-0.7023
80,82,0.718
81,83,-0.5801
82,84,-0.4278
83,85,-1.1519
84,86,-0.369
85,87,0.268
86,88,0.7168
87,89,-1.2837
88,90,0.0413
89,91,0.0096
90,92,0.9295
91,93,-1.202
92,94,-3.082
93,95,-1.6426
94,96,0.5399
95,97,0.4016
96,98,0.9844
97,99,-1.5061
98,100,-2.0796
99,101,-0.3145
100,102,0.7124
101,103,0.4542
102,104,-1.0392
103,105,-0.7531
104,106,0.7229
105,107,0.7824
106,108,0.2843
107,109,0.521
108,110,-0.7094
109,111,0.1586
110,112,0.9593
111,113,0.7932
112,114,0.4864
113,115,-1.4573
114,116,-0.3531
115,117,-0.1727
116,118,-0.0143
117,119,0.6338
118,120,0.5087
119,121,-6.8304
120,122,0.5077
121,123,0.2946
122,124,-0.271
123,125,0.5646
124,126,-0.4606
125,127,0.3646
126,128,0.3902
127,129,0.0527
128,130,0.8503
129,131,0.3197
130,132,0.3766
131,133,-1.131
132,134,0.8154
133,135,0.4694
134,136,-0.0696
135,137,0.5524
136,138,-0.5586
137,139,-0.8974
138,140,-3.1622
139,141,-1.375
140,142,0.0443
141,143,0.8694
142,144,-0.9279
143,145,-0.1475
144,146,0.5887
145,147,-0.0328
146,148,-0.0034
147,149,0.745
148,150,-2.1065
149,151,0.4531
150,152,-0.2945
151,153,0.6796
152,154,0.3931
153,155,0.4613
154,156,0.3223
155,157,0.105
156,158,-0.1982
157,159,-2.2915
158,160,-0.8919
159,161,0.4105
160,162,0.6042
161,163,0.6477
162,164,-0.0717
163,165,-1.463
164,166,-0.0683
165,167,0.0523
166,168,-0.2401
167,169,0.7183
168,170,-6.6547
169,171,0.5919
170,172,0.3485
171,173,0.3854
172,174,-0.5438
173,175,0.1239
174,176,-0.8254
175,177,0.2478
176,178,-0.9414
177,179,0.7046
178,180,0.3525
179,181,0.1569
180,182,0.7143
181,183,0.9533
182,184,0.5353
183,185,-0.0109
184,186,-0.0616
185,187,0.0083
186,188,-0.0732
187,189,0.6611
188,190,-0.9027
189,191,-1.2538
190,192,0.5638
191,193,0.6855
192,194,-0.9543
