,session_id,r2
0,4002,0.0824
1,4003,-0.2173
2,4004,-0.032
3,4005,-0.0523
4,4006,-3.4285
5,4007,-0.5427
6,4008,0.048
7,4009,-0.9324
8,4010,0.5862
9,4011,0.2034
10,4012,-0.6069
11,4013,-0.0059
12,4014,-3.9473
13,4015,-0.4664
14,4016,-7.1592
15,4017,-0.0057
16,4018,0.2161
17,4019,-0.2148
18,4020,-0.328
19,4021,0.3034
20,4022,-0.1027
21,4023,0.3336
22,4024,-0.9661
23,4025,0.3931
24,4026,0.9278
25,4027,-0.0001
26,4028,0.2189
27,4029,-7.0894
28,4030,-0.0177
29,4031,0.0898
30,4032,-1.9022
31,4033,0.5041
32,4034,-1.1746
33,4035,0.8022
34,4036,-3.458
35,4037,-0.0042
36,4038,-0.067
37,4039,-1.5902
38,4040,-0.032
39,4041,0.2717
40,4042,-4.4715
41,4043,-0.7049
42,4044,-0.0068
43,4045,-0.4266
44,4046,-0.053
45,4047,0.4221
46,4048,-0.0362
47,4049,-0.0971
48,4050,0.0964
49,4051,0.0663
50,4052,-1.9224
51,4053,-0.046
52,4054,-0.2753
53,4055,-0.0584
54,4056,-0.8547
55,4057,0.5283
56,4058,-0.2945
57,4059,-0.0293
58,4060,0.025
59,4061,-2.1703
60,4062,0.7979
61,4063,0.2033
62,4064,-0.0375
63,4065,0.2715
64,4066,0.0276
65,4067,-83.3818
66,4068,-0.6215
67,4069,-0.0002
68,4070,-17.9854
69,4071,-1.1789
70,4072,0.3188
71,4073,-0.9164
72,4074,-2.3888
73,4075,-0.0784
74,4076,-0.0514
75,4077,-0.3469
76,4078,-0.0362
77,4079,0.3997
78,4080,-0.2425
79,4081,0.2687
80,4082,-0.0119
81,4083,-0.0456
82,4084,-0.716
83,4085,-2.5669
84,4086,-0.5797
85,4087,-309228484040.0758
86,4088,-0.0616
87,4089,-1.6681
88,4090,-3.0234
89,4091,-0.054
90,4092,-1.7673
91,4093,-0.3873
92,4094,0.1044
93,4095,-1.2263
94,4096,-0.0619
95,4097,0.0648
96,4098,0.4203
97,4099,-2.3307
98,4100,-0.2459
99,4101,-0.2383
100,4102,-0.021
101,4103,-0.5407
102,4104,0.1587
103,4105,-0.0009
104,4106,0.157
105,4107,-0.3269
106,4108,0.9134
107,4109,-0.013
108,4110,0.5659
109,4111,0.2987
110,4112,-0.0028
111,4113,0.2561
112,4114,-2.0346
113,4115,-0.1496
114,4116,-0.0248
115,4117,0.1486
116,4118,0.0008
117,4119,-1.0938
118,4120,0.3687
119,4121,-0.1326
120,4122,0.1401
121,4123,-2.2792
122,4124,-1.2598
123,4125,-2.6415
124,4126,0.0457
125,4127,0.5694
126,4128,-0.0309
127,4129,0.0452
128,4130,0.2031
129,4131,-0.437
130,4132,0.7979
131,4133,0.2806
132,4134,0.2028
133,4135,-0.8438
