,session_id,r2
0,2002,-0.0664
1,2003,-0.2524
2,2004,-1.2647
3,2005,-0.3681
4,2006,-2.7038
5,2007,-2.408
6,2008,0.856
7,2009,-0.0364
8,2010,0.6514
9,2011,-1.3025
10,2012,-0.14
11,2013,-0.1526
12,2014,-0.2513
13,2015,-0.639
14,2016,-0.1677
15,2017,-1.0214
16,2018,-0.7346
17,2019,-0.2524
18,2020,-0.1138
19,2021,0.4361
20,2022,-4.8576
21,2023,0.2997
22,2024,-0.9093
23,2025,-0.1227
24,2026,-0.1473
25,2027,-1.7737
26,2028,-2.689
27,2029,-4.3317
28,2030,-1.4057
29,2031,-1.1513
30,2032,-1.0442
31,2033,0.3534
32,2034,-0.0438
33,2035,-0.375
34,2036,-0.0611
35,2037,-1.2209
36,2038,-1.0396
37,2039,-0.2535
38,2040,-0.2537
39,2041,-2.3112
40,2042,0.5376
41,2043,0.0715
42,2044,-1.6714
43,2045,-0.4626
44,2046,-2.3304
45,2047,-6.5554
46,2048,-0.3687
47,2049,-0.5365
48,2050,-0.2705
49,2051,-2.0418
50,2052,-2.2978
51,2053,-0.7762
52,2054,-0.7149
53,2055,-0.82
54,2056,-0.6884
55,2057,-0.1138
56,2058,-1.1006
57,2059,-1.6605
58,2060,0.5378
59,2061,-0.9499
60,2062,-0.9656
61,2063,-0.006
62,2064,-1.9058
63,2065,-0.0193
64,2066,-1.0899
65,2067,-5.1279
66,2068,-0.5804
67,2069,0.158
68,2070,-0.0193
69,2071,-0.5279
70,2072,-0.0448
71,2073,-4.8418
72,2074,-2.1835
73,2075,0.0188
74,2076,-0.008
75,2077,-0.1004
76,2078,-0.1428
77,2079,-1.7908
78,2080,-0.1975
79,2081,-1.2516
80,2082,-1.1497
81,2083,-0.0241
82,2084,-0.1525
83,2085,0.4512
84,2086,-3.9716
85,2087,-2.1166
86,2088,-0.0769
87,2089,0.2568
88,2090,-1.4843
89,2091,-0.2279
90,2092,-0.3081
91,2093,-0.3461
92,2094,-0.351
93,2095,-0.0
94,2096,-0.7908
95,2097,-0.9895
96,2098,-0.7346
97,2099,-2.9287
98,2100,-0.0357
99,2101,-0.0942
100,2102,-7.9249
101,2103,0.1307
102,2104,-0.4663
103,2105,0.4877
104,2106,-5.3565
105,2107,-1.98
106,2108,-0.023
107,2109,0.6445
108,2110,-2.2211
109,2111,-0.0054
110,2112,-0.725
111,2113,0.1392
112,2114,-1.327
113,2115,-0.1235
114,2116,-0.1354
115,2117,-0.298
116,2118,-0.0314
117,2119,0.1757
118,2120,-5.5562
119,2121,-0.9992
120,2122,-1.1542
121,2123,-0.2999
122,2124,-0.4346
123,2125,-1.3264
124,2126,-0.0456
125,2127,0.4456
126,2128,-1.3894
127,2129,-0.2189
128,2130,-2.4203
129,2131,-1.9807
130,2132,-0.0023
131,2133,-0.2779
132,2134,0.4472
133,2135,-0.2133
134,2136,-0.5279
135,2137,-1.157
136,2138,-1.6492
137,2139,-0.2588
138,2140,-2.7038
139,2141,-0.4595
140,2142,-0.2189
141,2143,-1.7083
142,2144,-0.3007
143,2145,-2.5547
144,2146,-1.2523
145,2147,-0.8312
146,2148,0.7231
147,2149,-0.2779
148,2150,-0.3141
149,2151,-0.2296
150,2152,-1.2033
151,2153,-10.0755
152,2154,0.0024
153,2155,0.414
154,2156,-0.6025
155,2157,0.0363
156,2158,0.123
157,2159,-1.6085
158,2160,-0.0105
159,2161,-1.2977
160,2162,-1.2202
161,2163,-0.2347
162,2164,-0.5638
163,2165,-0.0153
164,2166,-3.2736
165,2167,-0.0942
166,2168,-0.2729
167,2169,-1.227
168,2170,-0.0756
169,2171,-2.6507
170,2172,-0.5996
171,2173,-1.1932
172,2174,-0.9797
173,2175,-0.6855
174,2176,-0.0069
175,2177,-3.4449
176,2178,-1.4111
177,2179,-0.5283
178,2180,0.2822
179,2181,-1.754
180,2182,-3.5443
181,2183,-0.0261
182,2184,-2.4317
183,2185,-2.8528
184,2186,-0.1149
185,2187,0.0949
186,2188,-0.0096
187,2189,0.3292
188,2190,-4.5285
189,2191,0.2562
190,2192,-0.145
191,2193,-0.8597
192,2194,-0.0535
193,2195,-1.1417
194,2196,-2.3882
195,2197,-3.9611
196,2198,0.1589
197,2199,0.2192
198,2200,-1.1073
199,2201,-0.0032
200,2202,-0.0498
201,2203,0.0681
202,2204,-1.4557
203,2205,0.3835
204,2206,0.1757
205,2207,-0.3628
206,2208,-0.0
207,2209,-0.2074
208,2210,-2.7621
209,2211,-0.023
210,2212,-0.0407
211,2213,-0.2107
212,2214,0.6087
213,2215,-0.9499
214,2216,-0.4542
215,2217,-0.6089
216,2218,-0.3665
217,2219,-0.0941
218,2220,-0.406
219,2221,-1.6162
220,2222,-4.1744
221,2223,-20.2508
222,2224,-2.0992
223,2225,-0.7801
224,2226,-0.8932
225,2227,0.0954
226,2228,-0.3348
227,2229,-0.175
228,2230,-1.4111
229,2231,-0.1012
230,2232,-1.0493
231,2233,-0.0903
232,2234,-0.8727
233,2235,0.0173
234,2236,0.0777
235,2237,-4.0419
236,2238,-1.8228
237,2239,-0.0515
238,2240,-0.0593
239,2241,-6.612
240,2242,-4.949
241,2243,-0.1764
242,2244,-0.3639
243,2245,-0.7126
244,2246,0.0832
245,2247,-0.2535
246,2248,-0.0068
247,2249,-8.6559
248,2250,-0.0724
249,2251,0.2191
250,2252,-2.1741
251,2253,0.6401
252,2254,-0.4569
253,2255,-0.1138
254,2256,0.0371
255,2257,-1.2395
256,2258,0.7483
257,2259,-0.7235
258,2260,-2.2768
259,2261,-11.7179
260,2262,-3.606
261,2263,-0.4714
262,2264,-0.141
263,2265,-2.9464
264,2266,-14.6775
265,2267,-0.7663
266,2268,-0.0664
267,2269,-1.0131
268,2270,-2.0124
269,2271,0.239
270,2272,-0.2107
271,2273,-9.4711
272,2274,-0.0201
273,2275,-1.9011
274,2276,-0.222
275,2277,-1.979
276,2278,0.5837
277,2279,-0.565
278,2280,0.5006
279,2281,0.0996
280,2282,-0.0445
281,2283,0.0155
282,2284,0.1755
283,2285,-0.2107
284,2286,-7.1953
285,2287,-0.7908
286,2288,0.0417
287,2289,-2.314
288,2290,0.0035
289,2291,-0.5822
290,2292,-0.8922
291,2293,-0.1076
292,2294,-0.4069
293,2295,-0.4864
294,2296,-0.0364
295,2297,-2.1787
296,2298,-3.8321
297,2299,-1.6516
298,2300,-3.852
299,2301,0.0731
300,2302,-2.036
301,2303,-0.3096
302,2304,0.0302
303,2305,0.002
304,2306,-0.105
305,2307,0.3704
306,2308,-1.2569
307,2309,-2.155
308,2310,-0.2491
309,2311,0.2882
310,2312,-0.0701
311,2313,-1.2068
312,2314,-0.1334
313,2315,-0.8034
314,2316,-1.4326
315,2317,-0.4184
316,2318,-0.5208
317,2319,-2.9662
318,2320,-0.2458
319,2321,-1.3614
320,2322,-1.3618
321,2323,0.2236
322,2324,-1.2744
323,2325,-1.4371
324,2326,-0.6286
325,2327,-2.0992
326,2328,0.2116
327,2329,-1.5462
328,2330,-1.7153
329,2331,-0.0484
330,2332,-0.1708
331,2333,0.2316
332,2334,-0.5272
333,2335,0.5643
334,2336,-2.8212
335,2337,-0.0795
336,2338,-0.7545
337,2339,-0.6658
338,2340,-2.1459
339,2341,-0.1869
340,2342,-0.0942
341,2343,-0.3421
342,2344,-0.024
343,2345,-0.3857
344,2346,0.735
345,2347,-0.2451
346,2348,-1.8382
347,2349,0.3522
348,2350,-0.0364
349,2351,-0.1375
350,2352,-0.0248
351,2353,-0.5548
352,2354,-0.1755
353,2355,-0.4057
354,2356,-1.121
355,2357,-0.1803
356,2358,-0.1227
357,2359,-2.4955
358,2360,0.3124
359,2361,-4.1814
360,2362,-0.3569
361,2363,0.1981
362,2364,-2.3227
363,2365,-1.4837
364,2366,-0.1634
365,2367,-0.0006
366,2368,-2.7038
367,2369,-2.6222
368,2370,-6.8123
369,2371,-3.0836
370,2372,-0.7411
371,2373,-1.5173
372,2374,-0.2797
373,2375,-0.3924
374,2376,-1.0389
375,2377,-1.7218
376,2378,-1.2202
377,2379,-0.7258
378,2380,-2.5264
379,2381,-1.5613
380,2382,-3.9986
381,2383,-2.1891
382,2384,-0.0717
383,2385,-0.1619
384,2386,-0.2354
385,2387,-1.4817
386,2388,0.3335
387,2389,-1.8899
388,2390,0.2282
389,2391,0.1365
390,2392,-0.4316
391,2393,-0.803
392,2394,0.3096
393,2395,-10.9637
394,2396,0.6035
395,2397,-0.3124
396,2398,-4.0522
397,2399,-1.0639
398,2400,-0.8417
399,2401,0.1443
400,2402,0.5547
401,2403,-1.121
402,2404,0.1579
403,2405,-0.4063
404,2406,0.1204
405,2407,-0.0201
406,2408,-1.004
407,2409,-0.242
408,2410,0.0741
409,2411,-2.1597
410,2412,0.4756
411,2413,0.1069
412,2414,-0.4057
413,2415,-0.4103
414,2416,-11.491
415,2417,-0.485
416,2418,-0.1426
417,2419,-0.176
418,2420,0.4367
419,2421,0.6237
420,2422,-0.8301
421,2423,-0.6137
422,2424,0.1578
423,2425,-1.0214
424,2426,-0.068
425,2427,0.7936
426,2428,-0.5161
427,2429,-0.022
428,2430,-0.5566
429,2431,-0.395
430,2432,-0.1441
431,2433,-10.7198
432,2434,-15.0336
433,2435,-0.0942
434,2436,-1.7044
435,2437,-2.9464
436,2438,-0.4772
437,2439,-0.1351
438,2440,-1.2762
439,2441,-0.1138
440,2442,-0.1227
441,2443,-2.5399
442,2444,-0.2266
443,2445,-5.6303
444,2446,-0.7425
445,2447,0.3676
446,2448,-0.176
447,2449,-2.5399
448,2450,-11.4062
449,2451,-1.9648
450,2452,0.7358
451,2453,-2.829
452,2454,-0.6282
453,2455,-1.0201
454,2456,-1.4881
455,2457,-2.0405
456,2458,-3.9015
457,2459,0.3083
458,2460,0.0189
459,2461,-1.6085
460,2462,-0.14
461,2463,0.7215
462,2464,-0.0062
463,2465,-0.1282
464,2466,-2.0721
465,2467,-0.6897
466,2468,-0.0201
467,2469,-11.491
468,2470,0.3121
469,2471,-6.7012
470,2472,-0.7433
471,2473,-4.8359
472,2474,-0.0816
473,2475,-0.175
474,2476,0.123
475,2477,-0.2319
476,2478,-1.3514
477,2479,0.2753
478,2480,-0.2877
479,2481,0.2799
480,2482,-6.3301
481,2483,-2.4317
482,2484,0.0598
483,2485,-0.0007
484,2486,-0.5804
485,2487,-20.2508
486,2488,0.2447
487,2489,-0.2296
488,2490,-3.7723
489,2491,0.6595
490,2492,-0.135
491,2493,-0.5702
492,2494,-0.0752
493,2495,-17.4536
494,2496,0.7076
495,2497,0.15
496,2498,-0.0865
497,2499,-6.0815
498,2500,-0.0357
499,2501,-0.292
