,session_id,r2
0,2,-0.8157
1,3,-2.0548
2,4,-1.9963
3,5,-0.0823
4,6,-3.458
5,7,-0.7324
6,8,-0.012
7,9,-0.6917
8,10,-0.202
9,11,-7.6488
10,12,-0.0883
11,13,-2.7437
12,14,-1.3064
13,15,-0.0133
14,16,0.057
15,17,0.1513
16,18,-0.5557
17,19,-0.0068
18,20,-0.2447
19,21,-0.2498
20,22,-0.0254
21,23,-0.0038
22,24,-241.0964
23,25,-24.0209
24,26,0.2436
25,27,-0.9128
26,28,0.4198
27,29,-0.0434
28,30,-3.9357
29,31,-0.7009
30,32,-9.5122
31,33,-2.9725
32,34,-0.1207
33,35,-0.0763
34,36,-0.1424
35,37,-0.1581
36,38,-0.7161
37,39,-3.7334
38,40,-21.5477
39,41,-20.1519
40,42,-0.2383
41,43,-0.0411
42,44,-0.1788
43,45,-0.2753
44,46,-0.8355
45,47,-2.843
46,48,-225.9572
47,49,-0.8523
48,50,-6.6971
49,51,-0.0171
50,52,-14.6455
51,53,-0.0086
52,54,-0.5214
53,55,-0.042
54,56,-0.7295
55,57,-0.6069
56,58,-0.1584
57,59,-0.7086
58,60,0.1746
59,61,-0.0237
60,62,-0.0836
61,63,-5.9541
62,64,-18.4403
63,65,-0.2224
64,66,-0.6395
65,67,0.1913
66,68,-0.7182
67,69,-1.8127
68,70,0.2217
69,71,-12.5155
70,72,-0.0774
71,73,-0.086
72,74,-4.5193
73,75,-0.4683
74,76,-0.2596
75,77,-1.6321
76,78,-12.0958
77,79,-14.0441
78,80,-0.168
79,81,-5.1473
80,82,-2.4722
81,83,-0.0102
82,84,-4.7579
83,85,-0.0346
84,86,0.2459
85,87,0.3574
86,88,-0.2901
87,89,-0.835
88,90,-1.4511
89,91,-0.2297
90,92,-5.8407
91,93,-0.7358
92,94,-0.185
93,95,0.1875
94,96,-0.0081
95,97,-6.1723
96,98,-0.0087
97,99,0.0628
98,100,-1.438
99,101,-0.9935
100,102,-119.6405
101,103,-0.1022
102,104,0.2869
103,105,0.0329
104,106,-2.0702
105,107,0.1846
106,108,-0.2685
107,109,-1.4513
108,110,-3.2909
109,111,-1.1461
110,112,-0.0012
111,113,0.8319
112,114,-0.4478
113,115,0.4655
114,116,-0.0532
115,117,-4.973
116,118,-0.539
117,119,-2.5903
118,120,-0.0352
119,121,-0.3034
120,122,0.4485
121,123,-0.0884
122,124,-0.1482
123,125,-2.3238
124,126,-0.553
125,127,-0.0231
126,128,-2.6802
127,129,-1.1341
128,130,-0.1023
129,131,-0.4196
130,132,-9.7022
131,133,-1.1446
132,134,-0.3118
133,135,0.2413
134,136,-0.1577
135,137,0.6774
136,138,-2.122
137,139,0.4003
138,140,-2.1877
139,141,-0.6283
140,142,0.2014
141,143,-3.7073
142,144,-0.7402
143,145,-0.8133
144,146,-352612243633.3936
145,147,-7.1082
146,148,-1.0001
147,149,-1.1207
148,150,0.1542
149,151,-6.6928
150,152,-11.8926
151,153,-0.2374
152,154,-0.0045
153,155,-2.7754
154,156,-0.9673
155,157,-3.0553
156,158,-22.3728
157,159,-0.7893
158,160,0.0811
159,161,-0.0291
160,162,-1.1429
161,163,-0.0023
162,164,0.2156
163,165,-2.33
164,166,-0.3206
165,167,0.5431
166,168,-0.0759
167,169,-0.321
168,170,-1.555
169,171,0.2259
170,172,-19.7382
171,173,-0.1981
172,174,-1.6703
173,175,-0.0898
174,176,-0.0017
175,177,-0.397
176,178,-0.0122
177,179,-0.078
178,180,-0.1259
179,181,-0.9382
180,182,0.1859
181,183,-0.2006
182,184,-0.9087
183,185,-3.6893
184,186,-0.0013
185,187,-47.6079
186,188,-0.1121
187,189,-0.8978
188,190,-0.3054
189,191,-1.0586
190,192,-4.6804
191,193,-0.3839
192,194,-0.2466
193,195,-0.0184
194,196,-5.7892
195,197,0.1409
196,198,0.0846
197,199,-0.2139
198,200,-1.6545
199,201,-4.7579
200,202,-0.1203
201,203,0.0819
202,204,-0.2757
203,205,0.4025
204,206,0.2963
205,207,-2.5328
206,208,-8.9229
207,209,-0.2619
208,210,0.561
209,211,-0.1391
210,212,0.0879
211,213,-0.0026
212,214,-0.3353
213,215,-11.5033
214,216,-0.0179
215,217,0.1533
216,218,-0.1885
217,219,-3.8263
218,220,-0.1286
219,221,-1.4146
220,222,-1.0906
221,223,-0.4458
222,224,-0.9414
223,225,-498.9858
224,226,-29.7719
225,227,-0.7368
226,228,-0.3873
227,229,0.0736
228,230,-0.0011
229,231,-5.9541
230,232,-3.4879
231,233,0.5385
232,234,-0.0119
233,235,-0.0947
234,236,-0.9957
235,237,-78.1065
236,238,-3.1448
237,239,0.8136
238,240,-10.5229
239,241,-0.0142
240,242,-0.0399
241,243,-0.0057
242,244,-0.4868
243,245,-0.2962
244,246,-0.3374
245,247,-0.9415
246,248,-15.1862
247,249,-0.973
248,250,-0.4266
249,251,-0.067
250,252,0.3703
251,253,-0.8491
252,254,-0.046
253,255,-0.013
254,256,-0.2575
255,257,-1.6641
256,258,-0.353
257,259,-0.9993
258,260,-0.038
259,261,-3.0553
260,262,-0.553
261,263,0.023
262,264,-0.8997
263,265,-0.426
264,266,0.2777
265,267,-1.3753
266,268,-0.1326
267,269,-0.1412
268,270,-0.0029
269,271,-0.2388
270,272,-7.0965
271,273,0.0316
272,274,0.7398
273,275,-0.0531
274,276,-78.9256
275,277,-2.4233
276,278,-0.1168
277,279,-1.2038
278,280,-0.5075
279,281,-0.0071
280,282,-0.4625
281,283,-22.1768
282,284,-0.0703
283,285,-7.4471
284,286,0.0852
285,287,-0.15
286,288,-0.0059
287,289,-1.1074
288,290,0.0919
289,291,-1.058
290,292,0.069
291,293,-40.6848
292,294,-0.4872
293,295,-355.7781
294,296,-0.0514
295,297,-1.8168
296,298,0.075
297,299,-1.2057
298,300,-0.001
299,301,-0.5591
300,302,-0.1931
301,303,-0.5068
302,304,-6.1076
303,305,-0.2591
304,306,-3.5413
305,307,-0.7879
306,308,-0.3508
307,309,-0.9164
308,310,0.2789
309,311,-0.4774
310,312,-0.0245
311,313,-1.3705
312,314,-0.5484
313,315,-3.3507
314,316,0.0965
315,317,-0.2685
316,318,-60.8771
317,319,-0.0089
318,320,0.2004
319,321,-1.5434
320,322,-0.0396
321,323,-0.2264
322,324,-0.0043
323,325,-0.4115
324,326,0.3753
325,327,-0.5658
326,328,-0.2502
327,329,-3.2761
328,330,-0.0549
329,331,-1.0801
330,332,-6.513
331,333,-1.1894
332,334,-0.619
333,335,-0.1847
334,336,-0.0859
335,337,-0.4523
336,338,-0.5075
337,339,-0.6174
338,340,0.2196
339,341,-1.1419
340,342,-0.1545
341,343,-2.1688
342,344,-0.241
343,345,-1.1287
344,346,0.0297
345,347,-0.0205
346,348,-0.0213
347,349,-0.3654
348,350,0.0129
349,351,0.1535
350,352,0.2962
351,353,-0.3993
352,354,0.2023
353,355,-0.2442
354,356,-0.0382
355,357,-0.0926
356,358,-0.1056
357,359,-35.5115
358,360,-152.1005
359,361,-2.0386
360,362,-0.5275
361,363,0.0736
362,364,-6.7477
363,365,-0.0013
364,366,0.0846
365,367,-0.0248
366,368,0.2524
367,369,-0.4711
368,370,0.0503
369,371,-0.6326
370,372,-12.2791
371,373,-0.006
372,374,0.0305
373,375,-3.0553
374,376,0.6777
375,377,-0.7136
376,378,-14.6675
377,379,-0.0317
378,380,-11.3647
