,session_id,r2
0,1002,-1.379
1,1003,0.2369
2,1004,-0.3441
3,1005,0.2655
4,1006,0.0496
5,1007,0.6652
6,1008,-1.8981
7,1009,0.5889
8,1010,0.2974
9,1011,0.1715
10,1012,0.7836
11,1013,-0.2283
12,1014,-0.4332
13,1015,-3.3905
14,1016,0.1655
15,1017,-3.029
16,1018,-0.2792
17,1019,-0.6787
18,1020,-0.2611
19,1021,-0.8705
20,1022,0.056
21,1023,-1.37
22,1024,-0.1447
23,1025,-0.0804
24,1026,-0.9543
25,1027,0.4508
26,1028,-1.9522
27,1029,0.4498
28,1030,0.1266
29,1031,0.0477
30,1032,0.5445
31,1033,0.5081
32,1034,0.0926
33,1035,-0.7031
34,1036,-0.948
35,1037,-0.7759
36,1038,-1.7812
37,1039,0.3879
38,1040,-0.1638
39,1041,-0.4227
40,1042,-0.6687
41,1043,-0.2177
42,1044,0.3052
43,1045,0.2386
44,1046,-0.0001
45,1047,-0.2818
46,1048,-0.7175
47,1049,0.854
48,1050,-1.1908
49,1051,0.1633
50,1052,0.74
51,1053,-1.2147
52,1054,-6.9735
53,1055,0.4794
54,1056,-0.1148
55,1057,0.3344
56,1058,0.2495
57,1059,0.6607
58,1060,0.1122
59,1061,-0.7354
60,1062,-0.2668
61,1063,0.4503
62,1064,0.5649
63,1065,0.5985
64,1066,-0.6231
65,1067,-0.5245
66,1068,0.5933
67,1069,-2.8916
68,1070,0.4783
69,1071,-0.0889
70,1072,-0.2987
71,1073,0.605
72,1074,-1.3761
73,1075,-2.2181
74,1076,-0.0007
75,1077,0.2472
76,1078,0.4233
77,1079,-0.189
78,1080,0.5769
79,1081,0.1482
80,1082,0.2689
81,1083,0.6306
82,1084,-3.7277
83,1085,-0.7656
84,1086,-0.7644
85,1087,-6.0278
86,1088,-0.3569
87,1089,0.3137
88,1090,-0.0816
89,1091,0.1712
90,1092,0.3827
91,1093,-1.5934
92,1094,-2.6022
93,1095,0.9607
94,1096,-0.1684
95,1097,-0.144
96,1098,-0.8539
97,1099,-0.242
98,1100,0.6129
99,1101,0.3866
100,1102,-0.2652
101,1103,0.3569
102,1104,-0.3977
103,1105,-0.0076
104,1106,0.8474
105,1107,-2.0082
106,1108,-0.0598
107,1109,0.5187
108,1110,-0.2173
109,1111,-0.7871
110,1112,-0.0658
111,1113,-0.4396
112,1114,0.2214
113,1115,-0.6954
114,1116,0.4295
115,1117,0.1001
116,1118,0.1021
117,1119,0.2513
118,1120,-1.3253
119,1121,-0.3955
120,1122,0.3646
121,1123,0.2792
122,1124,-1.131
123,1125,0.5574
124,1126,0.5151
125,1127,-0.9655
126,1128,-0.7462
127,1129,0.754
128,1130,0.8421
129,1131,0.1573
130,1132,0.3009
131,1133,-1.1328
132,1134,-1.9367
133,1135,-0.7953
134,1136,-0.0971
135,1137,-0.5701
136,1138,-0.3993
137,1139,-0.14
138,1140,0.7125
139,1141,-0.0799
140,1142,0.6069
141,1143,0.5671
142,1144,-0.0143
143,1145,0.0487
144,1146,0.9244
145,1147,-0.0799
146,1148,-0.1342
