,session_id,r2
0,1502,-11.7985
1,1503,0.2198
2,1504,0.3323
3,1505,-3.2358
4,1506,0.494
5,1507,-0.1882
6,1508,-0.0318
7,1509,0.1177
8,1510,-0.0013
9,1511,-0.5621
10,1512,-0.5048
11,1513,-0.1148
12,1514,0.0549
13,1515,0.6606
14,1516,0.3089
15,1517,-0.7883
16,1518,-0.9513
17,1519,0.0957
18,1520,0.4217
19,1521,0.3251
20,1522,-0.1709
21,1523,-0.7665
22,1524,-0.008
23,1525,-2.1905
24,1526,-1.2181
25,1527,-0.001
26,1528,-13.2373
27,1529,-0.1167
28,1530,-0.0352
29,1531,-0.0071
30,1532,-0.1469
31,1533,-3.1695
32,1534,0.2205
33,1535,-0.1207
34,1536,-0.0709
35,1537,-1.2347
36,1538,0.2192
37,1539,-1.1932
38,1540,0.4503
39,1541,0.5821
40,1542,-0.1768
41,1543,-0.456
42,1544,-2.7005
43,1545,-0.1139
44,1546,-0.1632
45,1547,-112985962667.0285
46,1548,-1.9743
47,1549,-0.0663
48,1550,-0.7903
49,1551,0.6385
50,1552,-0.6883
51,1553,0.6265
52,1554,-0.3847
53,1555,-0.001
54,1556,0.5264
55,1557,0.2765
56,1558,0.2363
57,1559,-0.2308
58,1560,-1.4639
59,1561,-3.1395
60,1562,-0.931
61,1563,-0.1459
62,1564,0.3212
63,1565,-0.3054
64,1566,-2.6248
65,1567,-0.0638
66,1568,-0.13
67,1569,0.2159
68,1570,-2.5903
69,1571,-4.0636
70,1572,-3.8025
71,1573,-0.8403
72,1574,-5.7892
73,1575,-0.2302
74,1576,-1.8127
75,1577,0.3388
76,1578,-0.5042
77,1579,0.7936
78,1580,0.3782
79,1581,0.1909
80,1582,-16.1556
81,1583,-1.7023
82,1584,-0.0754
83,1585,0.6184
84,1586,-0.6993
85,1587,0.0328
86,1588,-0.0171
87,1589,-5.2277
88,1590,-0.0703
89,1591,0.2029
90,1592,-0.3634
91,1593,-0.0536
92,1594,-0.011
93,1595,0.194
94,1596,0.1497
95,1597,-5.0431
96,1598,0.3163
97,1599,0.4327
98,1600,-1.0812
99,1601,-0.1139
100,1602,-0.1417
101,1603,-0.0296
102,1604,-1.075
103,1605,-5.018
104,1606,-0.0045
105,1607,-17.5174
106,1608,0.7039
107,1609,0.1061
108,1610,-0.0239
109,1611,-0.6486
110,1612,0.6938
111,1613,0.4722
112,1614,-3.1618
113,1615,0.542
114,1616,-210.1941
115,1617,-0.0039
116,1618,0.0366
117,1619,-0.0848
118,1620,0.0639
119,1621,0.3321
120,1622,0.0223
121,1623,0.0263
122,1624,-0.078
123,1625,-1.5985
124,1626,-27.2162
125,1627,-0.4478
126,1628,-154.6034
