,session_id,r2
0,502,-0.4696
1,503,-2.721
2,504,-0.0001
3,505,-0.8327
4,506,-0.0009
5,507,-2.6541
6,508,-0.9818
7,509,-2.5464
8,510,-0.8771
9,511,-0.8645
10,512,-0.1337
11,513,0.158
12,514,-1.3046
13,515,-4.0332
14,516,0.7231
15,517,-0.7688
16,518,-1.5138
17,519,-3.7729
18,520,-1.3912
19,521,-0.7143
20,522,-1.1231
21,523,-7.9925
22,524,-0.8327
23,525,0.0888
24,526,-0.0
25,527,-2.2247
26,528,0.4731
27,529,-0.8417
28,530,0.7197
29,531,-1.4414
30,532,-0.0855
31,533,-0.067
32,534,-0.4928
33,535,-8.9337
34,536,-2.4217
35,537,0.4675
36,538,0.207
37,539,-0.2915
38,540,-0.1351
39,541,-0.0827
40,542,0.6067
41,543,-0.0361
42,544,-0.9093
43,545,0.4094
44,546,0.7577
45,547,-0.0898
46,548,-0.0484
47,549,-1.6631
48,550,-2.2616
49,551,0.1977
50,552,-1.8724
51,553,-2.965
52,554,-0.4008
53,555,-0.2313
54,556,-0.5164
55,557,-0.0615
56,558,-2.7038
57,559,-9.1729
58,560,-0.1227
59,561,-1.0014
60,562,-1.3971
61,563,-0.9557
62,564,-0.0096
63,565,-0.2107
64,566,-0.8828
65,567,0.4604
66,568,-0.4318
67,569,-0.0422
68,570,-1.5055
69,571,-0.8824
70,572,-0.1545
71,573,0.3937
72,574,-7.5112
73,575,-0.0002
74,576,-0.1351
75,577,-0.0032
76,578,-6.3302
77,579,-0.7988
78,580,-1.4005
79,581,-0.227
80,582,-1.1289
81,583,-2.889
82,584,0.39
83,585,-0.2162
84,586,-0.2779
85,587,-0.8312
86,588,-0.1383
87,589,-0.1412
88,590,0.5203
89,591,-0.0614
90,592,-5.3712
91,593,-1.9065
92,594,0.4372
93,595,-1.2209
94,596,-0.1087
95,597,-0.0203
96,598,-4.6822
97,599,-0.2133
98,600,-0.7486
99,601,-0.0105
100,602,-0.5844
101,603,-1.2086
102,604,-0.7008
